ID,DESCRIPTION,CATEGORY,SUB_CATEGORY,LOW_ALERT_QTY,PRICE,USAGE_2021,USAGE_2022,USAGE_2023,USAGE_2024,USAGE_2025,AVG_USAGE,ETR,LOCATION,SUB_LOCATION,QTY,SOURCE,PO_NUMBER,DATE_RECEIVED
563-26-0401,GAME CLOCK COMBO,WHH KEYPAD,,20,,,,12,10,4,,N/A,WH-J,JK DESK,84,OH,,
563-26-0420,BASEBALL KEYPAD,WHH KEYPAD,,25,,,,11,21,15,,N/A,WH-J,JK DESK,45,OH,,
563-26-0421,10 BUTTON KEYPAD,WHH KEYPAD,,50,,,,35,39,23,,N/A,WH-J,JK DESK,134,OH,,
563-26-0422,MISC KEYPAD,WHH KEYPAD,,100,,,,337,378,207,,N/A,WH-J,JK DESK,118,OH,,
563-26-0600,GAME CLOCK INSERT,WHH INSERT,WIRELESS,75,,,,33,42,23,,N/A,WH-J,JK DESK,200,OH,,
563-26-0601,GAME INSERT WIRED,WHH INSERT,WIRED,0,,,,,,,,N/A,WH-J,JK DESK,24,OH,,
563-26-0602,PLAY  CLOCK INSERT,WHH INSERT,WIRELESS,75,,,,55,71,61,,N/A,WH-J,JK DESK,172,OH,,
563-26-0603,PLAY CLOCK INSERT WIRED,WHH INSERT,WIRED,75,,,,179,119,82,,N/A,WH-J,JK DESK,187,OH,,
563-26-0604,SHOT CLOCK INSERT,WHH INSERT,WIRELESS,201,,,,,4,4,,N/A,WH-J,JK DESK,201,OH,,
563-26-0605,SHOT CLOCK INSERT WIRED,WHH INSERT,WIRED,384,,,,99,169,41,,N/A,WH-J,JK DESK,384,OH,,
563-26-0606,SEGMENT INSERT,WHH INSERT,WIRELESS,204,,,,,1,1,,N/A,WH-J,JK DESK,204,OH,,
563-26-0608,BASEBALL INSERT,WHH INSERT,WIRELESS,116,,,,6,8,14,,N/A,WH-J,JK DESK,116,OH,,
563-26-0609,PITCH COUNT INSERT,WHH INSERT,WIRELESS,141,,,,12,20,15,,N/A,WH-J,JK DESK,141,OH,,
563-26-0610,RADAR GUN INSERT,WHH INSERT,WIRELESS,89,,,,5,7,5,,N/A,WH-J,JK DESK,89,OH,,
563-26-1403,PLAY CLOCK V276 COMBO,WHH KEYPAD,,108,,,,,,,,N/A,WH-J,JK DESK,108,OH,,
563-26-1405,SHOT CLOCK V276 COMBO,WHH KEYPAD,,75,,,,,,,,N/A,WH-J,JK DESK,75,OH,,
563-26-1603,PLAY CLOCK V276 INSERT,WHH INSERT,WIRED,55,,,,,,,,N/A,WH-J,JK DESK,55,OH,,
563-26-1605,SHOT CLOCK V276 INSERT,WHH INSERT,WIRED,53,,,,,,,,N/A,WH-J,JK DESK,53,OH,,
