ID	DESCRIPTION	CATEGORY	SUB_CATEGORY	LOW_ALERT_QTY	USAGE_2021	USAGE_2022	USAGE_2023	USAGE_2024	USAGE_2025	AVG_USAGE	ETR	LOCATION	SUB_LOCATION	QTY	SOURCE	PO_NUMBER	DATE_RECEIVED
563-20-1000	11 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	200		1267	1167	1232		1222	11.6 MONTHS	PROD	SHELF	284	OH		
563-20-1000	11 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	200		1267	1167	1232		1222	11.6 MONTHS	WH-C		900	OH		
563-20-1010	15 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	500							N/A	PROD	SHELF	320	OH		
563-20-1010	15 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	500							N/A	WH-C		940	OH		
563-20-1100	11 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	200		1624	1552	1426		1534	7.7 MONTHS	WH-C		630	OH		
563-20-1100	11 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	200		1624	1552	1426		1534	7.7 MONTHS	PROD	SHELF	350	OH		
563-20-1212	15IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	PROD	SHELF	150	OH		
563-20-1212	15IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	WH-C		1000	OH		
563-20-1296	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	RED	500							N/A	WH-C		2020	OH		
563-20-1296	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	RED	500							N/A	PROD	SHELF	125	OH		
563-20-1296	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	RED	500							N/A	WH-K		800	OH		
563-20-1224	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	WH-C		780	OH		
563-20-1224	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	PROD	SHELF	60	OH		
563-20-1224	18 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	WH-K		360	OH		
563-20-1416	24 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	500							N/A	WH-C		335	OH		
563-20-1416	24 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	500							N/A	PROD	SHELF	40	OH		
563-20-1416	24 IN FULL DIGIT RED	OUTDOOR LED BOARD	RED	500							N/A	WH-K		300	OH		
563-20-1422	24 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	WH-C		225	OH		
563-20-1422	24 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	PROD	SHELF	400	OH		
563-20-1422	24 IN FULL DIGIT AMBER	OUTDOOR LED BOARD	AMBER	500							N/A	WH-K		80	OH		
