ID,DESCRIPTION,CATEGORY,SUB_CATEGORY,LOW_ALERT_QTY,USAGE_2021,USAGE_2022,USAGE_2023,USAGE_2024,USAGE_2025,AVG_USAGE,ETR,LOCATION,SUB_LOCATION,QTY,SOURCE,PO_NUMBER,DATE_RECEIVED
563-20-1000,11 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,200,,1267,1167,1232,,1222,11.6 MONTHS,PROD,SHELF,284,OH,,
563-20-1000,11 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,200,,1267,1167,1232,,1222,11.6 MONTHS,WH-C,,900,OH,,
563-20-1010,15 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,PROD,SHELF,320,OH,,
563-20-1010,15 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,WH-C,,940,OH,,
563-20-1100,11 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,200,,1624,1552,1426,,1534,7.7 MONTHS,WH-C,,630,OH,,
563-20-1100,11 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,200,,1624,1552,1426,,1534,7.7 MONTHS,PROD,SHELF,350,OH,,
563-20-1212,15IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,1806,2351,2300,,,N/A,PROD,SHELF,150,OH,,
563-20-1212,15IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,,,,,N/A,WH-C,,1000,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,1795,2197,2369,,,N/A,WH-C,,2020,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,PROD,SHELF,125,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,WH-K,,800,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,1593,2258,1868,,,N/A,WH-C,,780,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,,,,,N/A,PROD,SHELF,60,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,,,,,N/A,WH-K,,360,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,681,709,653,,,N/A,WH-C,,335,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,PROD,SHELF,40,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,N/A,WH-K,,300,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,818,1409,815,,,N/A,WH-C,,225,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,,,,,N/A,PROD,SHELF,400,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,,,,,N/A,WH-K,,80,OH,,
563-20-1160,15INCH E,OUTDOOR LED BOARD,RED,30,,23,30,31,,,N/A,WH-J,ROW S,70,OH,,
563-20-1161,15INCH E,OUTDOOR LED BOARD,AMBER,30,,34,40,53,,,N/A,WH-J,R4 GROUND,110,OH,,
563-20-1170,15INCH H,OUTDOOR LED BOARD,RED,30,,28,27,26,,,N/A,WH-J,L2,69,OH,,
563-20-1171,15INCH H,OUTDOOR LED BOARD,AMBER,30,,33,39,28,,,N/A,WH-J,RACK 4 GROUND,139,OH,,
563-20-1280,4INCH BALL,OUTDOOR LED BOARD,RED,50,,125,221,229,,,N/A,WH-J,S-1A,170,OH,,
563-20-1215,4INCH BALL,OUTDOOR LED BOARD,AMBER,50,,134,146,122,,,N/A,WH-J,R-2B,130,OH,,
563-20-1290,4INCH S/O,OUTDOOR LED BOARD,RED,100,,259,435,434,,,N/A,WH-J,S-1A,280,OH,,
563-20-1216,4INCH S/O,OUTDOOR LED BOARD,AMBER,100,,271,290,248,,,N/A,WH-J,R-2B,266,OH,,
563-20-1260,4INCH MISC,OUTDOOR LED BOARD,RED,250,,754,607,293,,,N/A,WH-J,S-1A,675,OH,,
563-20-1217,4INCH MISC,OUTDOOR LED BOARD,AMBER,50,,215,179,166,,,N/A,WH-J,R-2B,155,OH,,
563-20-1240,FB POSS MED,OUTDOOR LED BOARD,RED,20,,66,76,51,,,N/A,WH-J,L2 GROUND,270,OH,,
563-20-1241,FB POSS MED,OUTDOOR LED BOARD,AMBER,20,,100,149,44,,,N/A,WH-J,R4 TOP/GROUND,261,OH,,
563-20-1612,30INCH BOTTOM,OUTDOOR LED BOARD,Red,20,,114,99,122,,,N/A,WH-J,RACK 5,464,OH,,
563-20-1912,30INCH BOTTOM,OUTDOOR LED BOARD,Amber,20,,165,200,101,,,N/A,WH-J,R3 GROUND,250,OH,,
563-20-1625,30INCH MIDDLE,OUTDOOR LED BOARD,Red,20,,112,96,60,,,N/A,WH-J,R5,461,OH,,
563-20-1925,30INCH MIDDLE,OUTDOOR LED BOARD,Amber,20,,174,208,98,,,N/A,WH-J,R3 GROUND,240,OH,,
563-20-1632,30INCH TOP,OUTDOOR LED BOARD,Red,20,,114,99,171,,,N/A,WH-J,R5,469,OH,,
563-20-1932,30INCH TOP,OUTDOOR LED BOARD,Amber,20,,166,199,90,,,N/A,WH-J,R3 GROUND,250,OH,,
563-10-4025,ETN 9X16,OUTDOOR ETN,AMBER,150,,146,191,243,,,N/A,WH-J,STACKS,112,OH,,
563-10-4026,ETN 9X16,OUTDOOR ETN,RED,150,,77,117,117,,,N/A,WH-J,STACKS,210,OH,,
563-10-4035,ETN 7X16,OUTDOOR ETN,AMBER,150,,555,529,461,,,N/A,WH-J,R6,110,OH,,
563-10-4036,ETN 7X16,OUTDOOR ETN,RED,150,,424,275,403,,,N/A,WH-J,STACKS,985,OH,,
563-10-4125,ETN 9X8,OUTDOOR ETN,AMBER,250,,32,39,41,,,N/A,WH-J,R6,105,OH,,
563-10-4126,ETN 9X8,OUTDOOR ETN,RED,250,,19,18,-5,,,N/A,WH-J,R6,80,OH,,
563-10-4135,ETN 7X8,OUTDOOR ETN,AMBER,250,,20,39,-8,,,N/A,WH-J,R6,74,OH,,
563-10-4136,ETN 7X8,OUTDOOR ETN,RED,250,,15,27,-10,,,N/A,WH-J,R6,8,OH,,
563-20-1120,3IN 2-BULLET S/O,OUTDOOR ETN,RED,0,,34,44,30,,,N/A,WH-J,S-2A,468,OH,,
563-20-1110,3IN 3-BULLET BALL,OUTDOOR ETN,RED,0,,19,20,59,,,N/A,WH-J,S-2A,220,OH,,
563-20-1214,3IN 2-BULLET S/O,EM OUTDOOR,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1213,3IN 3-BULLET BALL,EM OUTDOOR LED,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1120,4IN QTR 1-2 OR 3-4,EM OUTDOOR LED,RED,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1221,4IN QTR 1-2 OR 3-4,EM OUTDOOR LED,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1270,4IN DOWN 1-2 or 3-4,EM OUTDOOR LED,RED,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1271,4IN DOWN 1-2 or 3-4,EM OUTDOOR LED,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1242,"SM FOOTBALL POSS,",EM OUTDOOR LED,RED,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1243,"SM FOOTBALL POSS,",EM OUTDOOR LED,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1250,18IN HALF DIGIT,EM OUTDOOR LED,RED,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1251,18IN HALF DIGIT,EM OUTDOOR LED,AMBER,0,,,,,,,N/A,PROD,SHERRI,20,OH,,
