ID,DESCRIPTION,CATEGORY,SUB_CATEGORY,LOW_ALERT_QTY,PRICE,USAGE_2021,USAGE_2022,USAGE_2023,USAGE_2024,USAGE_2025,AVG_USAGE,ETR,LOCATION,SUB_LOCATION,QTY,SOURCE,PO_NUMBER,DATE_RECEIVED
554-28-3145,"CABLE, RIBBON, 204IN",RIBBON CABLE,LX CABLE,50,,,,1442,114,1224,927,19.5 MONTHS,PROD,ROOM 1,654,OH,,
554-28-3145,"CABLE, RIBBON, 204IN",RIBBON CABLE,LX CABLE,50,,,,1442,114,1224,927,19.5 MONTHS,WH-J,,854,OH,,
554-28-3175,"CABLE, RIBBON, 120IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,100,OH,,
554-28-3175,"CABLE, RIBBON, 120IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,160,OH,,
554-28-3205,"CABLE, RIBBON, 252IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,100,OH,,
554-28-3205,"CABLE, RIBBON, 252IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,75,OH,,
554-28-3210,"CABLE, RIBBON, 60IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,75,OH,,
554-28-3210,"CABLE, RIBBON, 60IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,150,OH,,
554-28-3212,"CABLE, RIBBON, 144IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,100,OH,,
554-28-3212,"CABLE, RIBBON, 144IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,75,OH,,
554-28-3214,"CABLE, RIBBON, 312IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,200,OH,,
554-28-3214,"CABLE, RIBBON, 312IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,75,OH,,
554-28-3226,"CABLE, RIBBON, 96IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,75,OH,,
554-28-3226,"CABLE, RIBBON, 96IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,400,OH,,
554-28-3235,"CABLE, RIBBON, 10IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,WH-J,,75,OH,,
554-28-3235,"CABLE, RIBBON, 10IN",RIBBON CABLE,LX CABLE,50,,,,,,,,N/A,PROD,ROOM 1,400,OH,,
563-10-4025,7IN 9X16 AMBER,OUTDOOR ETN,AMBER,150,,,146,191,243,,193,7.0 MONTHS,WH-J,STACKS,112,OH,,
563-10-4026,7IN 9X16 RED,OUTDOOR ETN,RED,150,,,77,117,117,,104,24.3 MONTHS,WH-J,STACKS,210,OH,,
563-10-4035,5in 7X16 amber,OUTDOOR ETN,AMBER,150,,,555,529,461,,515,2.6 MONTHS,WH-J,R6,110,OH,,
563-10-4036,5IN 7X16 RED,OUTDOOR ETN,RED,150,,,424,275,403,,367,32.2 MONTHS,WH-J,STACKS,985,OH,,
