ID,DESCRIPTION,CATEGORY,SUB_CATEGORY,LOW_ALERT_QTY,USAGE_2021,USAGE_2022,USAGE_2023,USAGE_2024,USAGE_2025,AVG_USAGE,ETR,LOCATION,SUB_LOCATION,QTY,SOURCE,PO_NUMBER,DATE_RECEIVED
554-28-3145,"CABLE, RIBBON, 204IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,125,OH,,
554-28-3145,"CABLE, RIBBON, 204IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,100,,,
554-28-3175,"CABLE, RIBBON, 120IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,160,OH,,
554-28-3175,"CABLE, RIBBON, 120IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,100,,,
554-28-3205,"CABLE, RIBBON, 252IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,100,OH,,
554-28-3205,"CABLE, RIBBON, 252IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,75,,,
554-28-3210,"CABLE, RIBBON, 60IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,150,OH,,
554-28-3210,"CABLE, RIBBON, 60IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,75,,,
554-28-3212,"CABLE, RIBBON, 144IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,100,OH,,
554-28-3212,"CABLE, RIBBON, 144IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,75,,,
554-28-3214,"CABLE, RIBBON, 312IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,200,OH,,
554-28-3214,"CABLE, RIBBON, 312IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,75,,,
554-28-3226,"CABLE, RIBBON, 96IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,400,OH,,
554-28-3226,"CABLE, RIBBON, 96IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,75,,,
554-28-3235,"CABLE, RIBBON, 10IN",RIBBON CABLE,LX CABLE,50,,,,,,,N/A,WH-J,,75,OH,,
554-28-3235,"CABLE, RIBBON, 10IN",RIBBON CABLE,LX CABLE,,,,,,,,N/A,PROD,ROOM 1,400,,,
563-26-0401,GAME CLOCK COMBO,WHH,WIREd,,,,,,,,N/A,WH-J,JK,84,OH,,
563-26-1403,PLAY CLOCK V276 COMBO,WHH,WIRED,,,,,,,,N/A,WH-J,JK,100,OH,,
563-26-1603,PLAY CLOCK V276 INSERT,WHH,WIRED,,,,,,,,N/A,WH-J,JK,55,OH,,
563-26-1405,SHOT CLOCK V276 COMBO,WHH,WIRED,,,,,,,,N/A,WH-J,JK,209,OH,,
563-26-1605,SHOT CLOCK V276 INSERT,WHH,WIREd,,,,,,,,N/A,WH-J,JK,55,OH,,
563-26-0421,10 BUTTON KEYPAD,WHH,KEYPAD,,,,,,,,N/A,WH-J,JK,136,OH,,
563-26-0600,GAME CLOCK INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,220,OH,,
563-26-0601,GAME INSERT WIRED,WHH,WIRED,,,,,,,,N/A,WH-J,JK,438,OH,,
563-26-0422,MISC KEYPAD,WHH,KEYPAD,,,,,,,,N/A,WH-J,JK,178,OH,,
563-26-0602,PLAY  CLOCK INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,199,OH,,
563-26-0603,PLAY CLOCK INSERT WIRED,WHH,WIRED,,,,,,,,N/A,WH-J,JK,67,OH,,
563-26-0604,SHOT CLOCK INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,220,OH,,
563-26-0605,SHOT CLOCK INSERT WIRED,WHH,WIRED,,,,,,,,N/A,WH-J,JK,382,OH,,
563-26-0609,PITCH COUNT INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,148,OH,,
563-26-0606,SEGMENT INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,130,OH,,
563-26-0610,RADAR GUN INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,85,OH,,
563-26-0420,BASEBALL KEYPAD,WHH,KEYPAD,,,,,,,,N/A,WH-J,JK,42,OH,,
563-26-0608,BASEBALL INSERT,WHH,WIRELESS,,,,,,,,N/A,WH-J,JK,150,OH,,
563-15-0000,PACTEC,WHH,HOUSING,,,,,,,,N/A,WH-J,JK,41,OH,,
